"Timestamp","How much Smalltalk experience do you have?","Where did you gain your Smalltalk experience?","How often do you develop software?","What Smalltalk dialect do you use primarily?","You mainly work ...","I access and/or inspect objects ... [Select:]","I modify variables in inspector windows ... [Select:]","I evaluate code snippets and/or run methods in inspector windows ... [Select:]","I keep inspector windows open for long periods of time. [Select:]","It is easy to access objects. [Confirm:]","Smalltalk offers many ways to access or inspect objects. [Confirm:]","Accessing objects helps me to understand how programs work. [Confirm:]","Accessing objects helps me to get immediate information about objects and/or program states. [Confirm:]","I debug programs ... [Select:]","I modify variables in debugger windows ... [Select:]","I evaluate code snippets and/or run methods in debugger windows ... [Select:]","Debugging programs helps me to understand how the programs work. [Confirm:]","Debugging programs helps me to get immediate information about program behaviors and/or states. [Confirm:]","I modify source code of running programs ... [Select:]","Modifying running programs helps me to understand how programs work. [Confirm:]","When I change the source code of a running program, I expect to see the effect of my changes immediately or very soon after. [Confirm:]","I write code snippets ... [Select:]","Writing code snippets helps me to identify what is the cause of a bug. [Confirm:]","Writing code snippets helps me to learn new libraries and/or programs. [Confirm:]","Writing code snippets helps me to identify how I should structure my source code. [Confirm:]","Writing code snippets helps me to get immediate information about program behaviors and/or states. [Confirm:]","I search for source code examples ... [in example classes and/or methods]","I search for source code examples ... [in class and/or method comments]","I search for source code examples ... [in help and/or example browsers]","I search for source code examples ... [in test cases]","I search for source code examples ... [in general source code]","I search for source code examples ... [on Internet and/or books]","Relevant source code examples are easy to find. [Confirm:]","Source code examples are easy to execute. [Confirm:]","Source code examples are easy to modify. [Confirm:]","Source code examples helps me to learn new libraries and/or programs. [Confirm:]","How often do you ask for examples, program usages, and/or issue solutions ... [to colleagues in person?]","How often do you ask for examples, program usages, and/or issue solutions ... [in chats and/or mailing lists?]","What do you use (attach) when discussing programming issues electronically? [screenshots]","What do you use (attach) when discussing programming issues electronically? [code snippets]","What do you use (attach) when discussing programming issues electronically? [source code]","What do you use (attach) when discussing programming issues electronically? [links to source code]","What do you use (attach) when discussing programming issues electronically? [patches or bug fixes]","What do you use (attach) when discussing programming issues electronically? [stack traces in text forms]","What do you use (attach) when discussing programming issues electronically? [serialized objects and/or programs]","What do you use (attach) when discussing programming issues electronically? [serialized stack traces]","It is easier to read a source code, rather than write a test case for it. [Familiar code]","It is easier to read a source code, rather than write a test case for it. [Unfamiliar code]","It is easier to read a source code, rather than write a code snippet to run it. [Familiar code]","It is easier to read a source code, rather than write a code snippet to run it. [Unfamiliar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Familiar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Unfamiliar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Familiar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Unfamiliar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Familiar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Unfamiliar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Familiar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Unfamiliar code]","Live programming in Smalltalk","Electronic communication in Smalltalk"
"2017/08/05 6:02:48 AM GMT-3","more than 10 years","Primarily in industry","Daily","VA Smalltalk","alone, without co-workers","Very often","Rarely","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Rarely","Very often","Disagree","Disagree","Very often","Disagree","Disagree","Very often","Agree","Somewhat agree","Agree","Agree","Often","Often","Rarely","Occasionally/ Sometimes","Rarely","Rarely","Agree","Agree","Agree","Agree","Not applicable","Occasionally/ Sometimes","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","I do easily","I do easily","I do not want or need","","Somewhat agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/05 7:33:38 AM GMT-3","more than 10 years","Primarily in industry","Daily","VA Smalltalk","in a shared office","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Very often","Often","Very often","Agree","Agree","Often","Agree","Agree","Regularly","Neutral","Neutral","Neutral","Agree","Regularly","Regularly","Regularly","Regularly","Regularly","Occasionally/ Sometimes","Neutral","Somewhat agree","Agree","Agree","Often","Occasionally/ Sometimes","I do not want or need","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","Somewhat agree","",""
"2017/08/05 10:15:31 AM GMT-3","6 to 10 years","Hobby programming","Weekly","Pharo","alone, without co-workers","Very often","Occasionally/ Sometimes","Very often","Very often","Agree","Agree","Agree","Agree","Regularly","Occasionally/ Sometimes","Regularly","Agree","Agree","Occasionally/ Sometimes","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Somewhat agree","Agree","Very often","Very often","Rarely","Very often","Occasionally/ Sometimes","Regularly","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Not applicable","Occasionally/ Sometimes","I do not, because exchanging it is too complex","I do easily","I do not, because exchanging it is too complex","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Neutral","Somewhat agree","Agree","Neutral","Neutral","Somewhat disagree","Disagree","Neutral","Somewhat agree","Neutral","Somewhat agree","",""
"2017/08/05 10:59:36 AM GMT-3","more than 10 years","Primarily in industry","Less than weekly","VA Smalltalk","in a shared office","Very often","Regularly","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Very often","Agree","Agree","Occasionally/ Sometimes","Somewhat agree","Agree","Very often","Agree","Somewhat agree","Disagree","Agree","Occasionally/ Sometimes","Rarely","Rarely","Often","Very often","Regularly","Agree","Agree","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do easily","I do not want or need","I do easily","I do not know","I do easily","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","I do not know","I do not know","Agree","Agree","This survey often presents a false dichotomy. For example, I almost never choose between reading code and running code. I read a little code, then run some code to test my understanding, which points me st some more code to read, etc.",""
"2017/08/05 2:59:42 PM GMT-3","6 to 10 years","In both (academia and industry)","Weekly","Pharo","alone, without co-workers","Very often","Occasionally/ Sometimes","Often","Regularly","Agree","I do not know","Agree","Agree","Often","Occasionally/ Sometimes","Often","Agree","Agree","Often","Disagree","Somewhat agree","Regularly","Somewhat agree","Agree","Neutral","Disagree","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Somewhat agree","Rarely","Rarely","I do not want or need","I do easily","I do not want or need","I do easily","I do not want or need","I do not, because exchanging it is too complex","I do not want or need","I do not, because exchanging it is too complex","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat agree","Agree","Sessions on seaside continuations debugging. It's a very, very special and specific, but rather very important thing.","Have no idea what this question is about, sorry"
"2017/08/05 3:04:23 PM GMT-3","more than 10 years","Primarily in industry","Daily","Squeak","remotely, my co-workers are in other buildings and/or cities","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Very often","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","I do easily","I do not want or need","I do not want or need","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Reject git and other file-based source management systems.","Make everything work from web browsers."
"2017/08/05 3:15:35 PM GMT-3","more than 10 years","Primarily in industry","Daily","VSE","in a shared office","Often","Rarely","Very often","Occasionally/ Sometimes","Agree","","Somewhat agree","Agree","Often","Regularly","Often","Agree","Agree","Very often","Agree","Agree","Often","Somewhat agree","Somewhat agree","Neutral","Neutral","Rarely","Rarely","Rarely","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Agree","Agree","Somewhat agree","I do not know","Regularly","Often","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do easily","I do not know","I do not know","Somewhat agree","I do not know","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Somewhat agree","Somewhat agree","",""
"2017/08/05 3:39:05 PM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo;VisualWorks","remotely, my co-workers are in other buildings and/or cities","Often","Often","Often","Often","Somewhat disagree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017/08/05 4:20:02 PM GMT-3","more than 10 years","Primarily in industry","Weekly","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Agree","Disagree","Agree","Agree","Rarely","Rarely","Rarely","Somewhat disagree","Neutral","Very often","Agree","Agree","Very often","Agree","Neutral","Agree","Agree","Rarely","Regularly","Occasionally/ Sometimes","Rarely","Occasionally/ Sometimes","Very often","Somewhat agree","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","1. Guide to Keyboard shortcuts, keyboard customization, development with no mouse. 
2. Browser view showing all methods available on an instance, including inherited and traits.","1.  Robust git integration. 
2. Telegram bots
"
"2017/08/05 4:20:25 PM GMT-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1. Guide to Keyboard shortcuts, keyboard customization, development with no mouse. 
2. Browser view showing all methods available on an instance, including inherited and traits.","1.  Robust git integration. 
2. Telegram bots
"
"2017/08/05 6:32:18 PM GMT-3","2 years or less","","Less than weekly","Squeak","alone, without co-workers","Often","Occasionally/ Sometimes","Often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","Rarely","Agree","Somewhat agree","Rarely","Neutral","Agree","Regularly","Somewhat agree","Agree","Neutral","Agree","Occasionally/ Sometimes","Rarely","Rarely","Rarely","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Not applicable","Rarely","I do not want or need","I do easily","I do easily","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","Somewhat agree","Neutral","Agree","Somewhat agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","",""
"2017/08/06 7:22:23 AM GMT-3","3 to 5 years","In both (academia and industry)","Daily","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Occasionally/ Sometimes","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Regularly","Very often","Very often","Very often","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Occasionally/ Sometimes","Very often","I do not want or need","I do easily","I do easily","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Agree","",""
"2017/08/06 9:19:11 AM GMT-3","more than 10 years","In both (academia and industry)","Weekly","Pharo;GemStone;Cuis","in a shared office","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Often","Neutral","Somewhat agree","Neutral","Somewhat agree","Often","Often","Rarely","Very often","Often","Rarely","Somewhat agree","Agree","Agree","Agree","Rarely","Rarely","I do not want or need","I do easily","I do easily","I do not want or need","I do easily","I do easily","I do easily","I do easily","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Somewhat disagree","Somewhat disagree","",""
"2017/08/06 10:29:59 AM GMT-3","more than 10 years","Primarily in industry","Weekly","Pharo","in a shared office","Very often","Often","Often","Often","Somewhat disagree","Somewhat disagree","Agree","Agree","Often","Often","Often","Somewhat agree","Somewhat agree","Often","Neutral","Agree","Often","Somewhat agree","Agree","Agree","Somewhat agree","Regularly","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Regularly","Occasionally/ Sometimes","Neutral","Neutral","Neutral","Somewhat agree","Regularly","Occasionally/ Sometimes","Not applicable","I do easily","I do easily","Not applicable","Not applicable","Not applicable","I do not want or need","I do not want or need","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/06 12:25:19 PM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo","in a shared office","Very often","Regularly","Often","Often","Agree","Agree","Agree","Agree","Often","Regularly","Regularly","Agree","Agree","Regularly","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Often","Often","Occasionally/ Sometimes","Often","Often","Regularly","Agree","Agree","Somewhat agree","Agree","Regularly","Regularly","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat agree","Agree","Agree","Agree","Agree","Correct & fast live updating of inspectors and browsers","Easier sharing of all source code artifacts"
"2017/08/06 3:40:19 PM GMT-3","3 to 5 years","from the internet","Weekly","Pharo;Squeak","in a shared office","Regularly","Rarely","Rarely","Rarely","Agree","Neutral","Somewhat agree","Agree","I do not know","Not applicable","I do not know","Not applicable","Not applicable","Regularly","Somewhat disagree","Agree","Regularly","Somewhat agree","Agree","Somewhat disagree","Agree","Very often","Very often","Very often","I do not know","Very often","Occasionally/ Sometimes","Somewhat agree","Agree","Agree","Agree","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Agree","Agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Agree","Agree","Neutral","Something I would like to have, it's to see what objects are living in the garbage collector, and to be able to select, delete, save,etc... to clean the smalltalk image roughtly 
to transform or associate a snippet code to a button as in Strongtalk. 
","It's a hard subject because noone has the same smalltalk or image.
A training to help People how to add comment in their code, or a guide of good practice. "
"2017/08/06 4:37:58 PM GMT-3","2 years or less","Primarily in academia (student, profesor)","Weekly","Squeak","in a shared office","Often","Rarely","Occasionally/ Sometimes","Often","Somewhat agree","I do not know","Somewhat agree","Agree","Often","Rarely","Regularly","Somewhat agree","Somewhat disagree","Regularly","Somewhat agree","Agree","Regularly","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Occasionally/ Sometimes","Rarely","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Neutral","Neutral","I do not know","Agree","Occasionally/ Sometimes","Rarely","I do not want or need","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do not want or need","I do not want or need","I do not want or need","I do not want or need","Neutral","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat agree","Agree","Neutral","Neutral","",""
"2017/08/07 4:13:36 AM GMT-3","more than 10 years","Primarily in industry","Daily","Dolphin","remotely, my co-workers are in other buildings and/or cities","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Agree","Agree","Regularly","Somewhat agree","Agree","Occasionally/ Sometimes","Neutral","Neutral","Somewhat disagree","Neutral","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Very often","Regularly","Somewhat disagree","Neutral","Somewhat agree","Agree","Occasionally/ Sometimes","Rarely","I do easily","I do easily","I do easily","I do not want or need","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Work on class/instance variables",""
"2017/08/07 10:47:46 AM GMT-3","6 to 10 years","self learning","Less than weekly","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Agree","Agree","Agree","Agree","Very often","Often","Occasionally/ Sometimes","Agree","Agree","Regularly","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Agree","Agree","Often","Regularly","Very often","Very often","Often","Often","Somewhat agree","Somewhat agree","Agree","Agree","Rarely","Rarely","I do not want or need","I do easily","I do easily","I do not want or need","I do not want or need","I do not want or need","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","Agree","Somewhat disagree","Agree","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Agree","Agree","",""
"2017/08/07 2:54:54 PM GMT-3","more than 10 years","In both (academia and industry)","Weekly","Squeak","in a single person office","Very often","Often","Regularly","Occasionally/ Sometimes","Somewhat disagree","Disagree","Agree","I do not know","Often","Regularly","Regularly","Agree","Agree","Often","Agree","Agree","Very often","Agree","Somewhat agree","Neutral","Agree","Often","Occasionally/ Sometimes","Regularly","Often","Regularly","Often","Somewhat disagree","Agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Neutral","Neutral","Agree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Neutral","Agree","Agree","Somewhat agree","object interaction is difficult to detect -- to program in DCI style is a help http://wiki.squeak.org/squeak/5752  ""The essence of object orientation is that objects interact to achieve a goal. This interaction can be observed by making a trace of the runtime flow of messages through the system. It is sometimes hard to get a picture of this interaction by reading the class codes.""","Mail out function in Squeak could be improved. Automatic generation of object diagrams. More ways to visualize objects, Maui http://wiki.squeak.org/squeak/3836?"
"2017/08/08 1:03:52 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;VisualWorks;VA Smalltalk;Dolphin","in a single person office","Very often","Regularly","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Often","Regularly","Agree","Agree","Regularly","Agree","Agree","Very often","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Often","Very often","Rarely","Agree","Agree","Agree","Agree","Rarely","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","Neutral","Neutral","Neutral","Neutral","Agree","Somewhat agree","Agree","Somewhat disagree","Disagree","Somewhat agree","Agree","Agree","",""
"2017/08/08 1:42:01 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Often","Agree","Agree","Often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Occasionally/ Sometimes","Often","Often","Occasionally/ Sometimes","Somewhat agree","Agree","Somewhat agree","Agree","Rarely","Rarely","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Neutral","Neutral","Neutral","Neutral","Somewhat agree","Neutral","Somewhat agree","Somewhat disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/08 2:29:13 AM GMT-3","more than 10 years","Primarily in academia (student, profesor)","Daily","Squeak;VisualWorks","in a shared office","Often","Often","Often","Often","Agree","Agree","Agree","Agree","Regularly","Regularly","Regularly","Somewhat agree","Somewhat agree","Regularly","Somewhat agree","Agree","Very often","Agree","Agree","Somewhat agree","Somewhat disagree","Often","Very often","Often","Very often","Often","Often","Neutral","Somewhat agree","Somewhat agree","Agree","Regularly","Regularly","I do not, because exchanging it is too complex","I do easily","I do easily","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat agree","Agree","Somewhat agree","Agree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat agree","Agree","Somewhat agree","Agree","",""
"2017/08/08 4:31:52 AM GMT-3","3 to 5 years","In both (academia and industry)","Daily","Pharo","in a shared office","Very often","Regularly","Very often","Very often","Somewhat agree","Agree","Agree","Agree","Very often","Regularly","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Neutral","Agree","Often","Often","Regularly","Often","Often","Regularly","Somewhat agree","Somewhat agree","Neutral","Agree","Rarely","Regularly","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Somewhat disagree","Somewhat disagree","",""
"2017/08/08 6:17:00 AM GMT-3","2 years or less","Internship in a Pharo research team","Daily","Pharo","in a shared office","Very often","Rarely","Often","Occasionally/ Sometimes","Somewhat agree","I do not know","Neutral","Agree","Very often","Rarely","Occasionally/ Sometimes","Agree","Somewhat agree","Rarely","Not applicable","Not applicable","Very often","Somewhat agree","Neutral","Somewhat agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Somewhat disagree","Neutral","Neutral","Somewhat agree","Often","Occasionally/ Sometimes","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Agree","I do not know","I do not know","I do not know","Agree","Disagree","Neutral","Neutral","Not applicable","Agree","Not applicable","Not applicable","",""
"2017/08/08 8:13:05 AM GMT-3","3 to 5 years","Primarily in industry","Daily","Pharo","in a single person office","Regularly","Rarely","Occasionally/ Sometimes","Rarely","Agree","Agree","Agree","Agree","Very often","Rarely","Rarely","Agree","Agree","Very often","Agree","Agree","Often","Somewhat agree","Agree","Agree","Neutral","Often","Often","Rarely","Regularly","Occasionally/ Sometimes","Occasionally/ Sometimes","Somewhat agree","Agree","Agree","Agree","Often","Rarely","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","Agree","Agree","Agree","Agree","Disagree","Somewhat agree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/08 9:07:11 AM GMT-3","6 to 10 years","Primarily in industry","Daily","Pharo;Squeak;ObjectStudio","in a shared office","Very often","Regularly","Often","Regularly","","Agree","Agree","Agree","Very often","Regularly","Often","Agree","Agree","Often","Agree","Agree","Often","Agree","Agree","Agree","Agree","Often","Often","Occasionally/ Sometimes","Regularly","Regularly","Regularly","Somewhat disagree","Somewhat disagree","Somewhat disagree","Agree","Often","Often","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do not know","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat disagree","Agree","Agree","Agree","Agree","","An integrated browser/editor for mailing list/forum/chat would be very welcome "
"2017/08/08 2:05:32 PM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks;GemStone","in a shared office","Very often","Often","Very often","Regularly","Agree","Agree","Agree","Agree","Often","Often","Often","Agree","Somewhat agree","Often","Neutral","Agree","Often","Agree","Somewhat agree","Neutral","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","Occasionally/ Sometimes","Regularly","Occasionally/ Sometimes","Regularly","Somewhat agree","Somewhat agree","Agree","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Neutral","Neutral","Neutral","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/08 5:09:37 PM GMT-3","2 years or less","hobby","Less than weekly","Pharo","alone, without co-workers","Often","Rarely","Regularly","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Often","Occasionally/ Sometimes","Rarely","Agree","Agree","Not applicable","Not applicable","Agree","Very often","Somewhat agree","Agree","Somewhat agree","Neutral","Regularly","Often","Occasionally/ Sometimes","Regularly","Very often","Occasionally/ Sometimes","Neutral","Somewhat agree","Neutral","Agree","Not applicable","Rarely","I do not know","I do easily","I do easily","I do not know","I do not know","I do not know","I do not know","I do not know","Agree","Agree","Agree","Agree","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","",""
"2017/08/08 6:44:29 PM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo;VisualWorks;GemStone;VA Smalltalk;Dolphin, ST/X","","Very often","Regularly","Often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Regularly","Often","Agree","Agree","Very often","Agree","Agree","Regularly","Agree","Agree","Neutral","Agree","Very often","Very often","Very often","Very often","Very often","Rarely","Somewhat agree","Agree","Neutral","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","","I do easily","I do easily","I do easily","I do easily","Agree","Agree","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","remote browsing ('as if' in the local image)","better standard exchange formats (namespaces, tags vs categories, privates, etc)"
"2017/08/09 12:49:29 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks;GemStone","in a shared office","Very often","Very often","Very often","Often","Agree","Agree","Agree","Agree","Very often","Often","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Agree","Agree","Agree","Agree","Very often","Often","Often","Very often","Very often","Regularly","","Somewhat agree","Agree","Agree","Often","Often","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","Neutral","Somewhat agree","Neutral","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/09 3:57:58 AM GMT-3","6 to 10 years","Primarily in industry","Less than weekly","Pharo;VA Smalltalk","in a shared office","Very often","Often","Often","Often","Agree","Agree","Agree","Agree","Often","Regularly","Often","Agree","Agree","Often","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Very often","Often","Regularly","Very often","Very often","Occasionally/ Sometimes","Agree","Somewhat agree","Agree","Agree","Occasionally/ Sometimes","Very often","I do, but exchanging it is (too) difficult","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Somewhat disagree","Disagree","Neutral","Neutral","We need to leverage this more","Serialising live objects is not something I thought of - I now know how easy it is but it's awkward to do in the tools vs a 1 button click to store them in public web space "
